estate_seed,rfc,es_proveedor,es_cliente,categoria,num_facturas,monto_total_facturado,monto_promedio_factura,monto_max_factura,monto_std_factura,pct_facturas_ppd,num_formas_pago_distintas,tiene_contrato,num_contratos,tiene_orden_compra,num_ordenes_compra,pct_po_mismo_requester_approver,pct_po_justo_bajo_umbral_50k,en_lista_69b,es_69b_definitivo,dias_antiguedad_al_facturar,num_transferencias_recibidas,monto_total_transferido,pct_facturas_sin_pago_rastreable,pct_concepto_generico,clabe_identica_a_empleado,misma_institucion_bancaria_que_empleado,monto_total_en_ledger,num_facturas_venta,monto_total_venta,monto_promedio_venta,pct_facturas_venta_sin_cobro,dias_a_cierre_periodo_venta,scheme_type,es_fraude,situacion_sat
1,AEX131014G81,1,0,Seguridad,5,336224.72,67244.94,131399.31,40401.06,0.6,2,1,1,0,0,0.0,0.0,0,0,2325.0,4,258054.79,0.0,0.0,0,0,336224.72,0,0.0,0.0,0.0,,no_esquema,0,no_listado
1,BAS121220DU9,1,0,Construccion,3,189242.45,63080.82,96177.62,28269.56,0.3333,1,1,1,1,1,0.0,0.0,0,0,1088.0,3,189242.45,0.0,0.0,0,0,189242.45,0,0.0,0.0,0.0,,no_esquema,0,no_listado
1,BLS10031954A,0,1,cliente,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,,0,0.0,0.0,0.0,0,0,0.0,1,58675.28,58675.28,0.0,95.0,no_esquema,0,no_listado
1,CCE1210166YA,1,0,Seguridad,3,250753.11,83584.37,138420.11,39281.9,0.3333,3,0,0,1,2,0.0,0.5,1,0,388.0,3,250753.11,0.0,0.0,0,0,250753.11,0,0.0,0.0,0.0,,no_esquema,0,presunto
1,CTP160619CMK,1,0,Logistica,14,668206.55,47729.04,49612.38,995.08,0.2857,5,0,0,1,14,1.0,1.0,0,0,786.0,13,619576.18,0.0,1.0,0,0,668206.55,0,0.0,0.0,0.0,,threshold_splitting,1,no_listado
1,CVU140404IYH,1,0,Transporte,10,440178.04,44017.8,47121.42,2072.6,0.0,5,1,1,1,10,0.0,0.3,0,0,1712.0,8,349715.38,0.0,0.0,0,0,440178.04,0,0.0,0.0,0.0,,no_esquema,0,no_listado
1,DDR120315ZL4,0,1,cliente,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,,0,0.0,0.0,0.0,0,0,0.0,1,243905.75,243905.75,0.0,128.0,no_esquema,0,no_listado
1,DEN1310217L6,1,0,Seguridad,3,291661.83,97220.61,128279.91,22451.5,1.0,2,0,0,0,0,0.0,0.0,0,0,566.0,3,291661.83,0.0,0.0,0,0,291661.83,0,0.0,0.0,0.0,,no_esquema,0,no_listado
1,DMR11111858P,1,0,Seguridad,5,546462.38,109292.48,166975.96,55951.59,0.8,4,0,0,1,1,0.0,0.0,0,0,376.0,5,546462.38,0.0,0.0,0,0,546462.38,0,0.0,0.0,0.0,,no_esquema,0,no_listado
1,DOS160314IVU,0,1,cliente,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,,0,0.0,0.0,0.0,0,0,0.0,1,62301.63,62301.63,0.0,90.0,no_esquema,0,no_listado
1,EPD260609T8T,0,1,cliente,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,,0,0.0,0.0,0.0,0,0,0.0,3,448825.52,149608.51,0.6667,0.0,revenue_inflation,1,no_listado
1,ERX0106279NL,1,0,Transporte,7,688109.0,98301.29,160813.31,54536.17,0.1429,5,1,1,1,7,0.1429,0.0,0,0,1971.0,5,416345.74,0.1429,0.0,0,0,688109.0,0,0.0,0.0,0.0,,no_esquema,0,no_listado
1,EVA2606041Y6,0,1,cliente,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,,0,0.0,0.0,0.0,0,0,0.0,1,191823.7,191823.7,0.0,54.0,no_esquema,0,no_listado
1,EYG000316XLD,0,1,cliente,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,,0,0.0,0.0,0.0,0,0,0.0,1,62556.85,62556.85,0.0,42.0,no_esquema,0,no_listado
1,FAN010402ZHX,1,0,Papeleria,4,54700.73,13675.18,15416.98,1513.44,0.0,4,1,1,0,0,0.0,0.0,0,0,2164.0,4,54700.73,0.0,0.0,0,0,54700.73,0,0.0,0.0,0.0,,no_esquema,0,no_listado
1,FDS031227TLW,1,0,Mantenimiento,6,40559.33,6759.89,9836.25,1554.82,0.5,4,1,1,1,6,1.0,0.0,0,0,1586.0,4,24008.42,0.1667,0.0,0,0,40559.33,0,0.0,0.0,0.0,,no_esquema,0,no_listado
